palavra_chave,ocorrencias,categoria,supercategoria
br,2383,,
brasilia,1512,,
parc,849,,
sao,428,,
paulo,421,,
03,290,,
02,240,,
10,228,,
04,177,,
06,166,,
01,165,,
12,141,,
bra,132,,
05,131,,
osasco,105,,
e,105,,
tit,103,,
de,87,,
conta,79,,
anuidade,71,,
pgto,70,,
debito,70,,
5977,70,,
200211,70,,
pag,67,,
alexania,65,,
shopping,62,,
pg,61,,
com,61,,
08,59,,
do,57,,
diferenciada,56,,
amiga,51,,
pd,50,,
paes,50,,
delicias,50,,
petrobrasprem,47,,
07,46,,
mercadolivre,45,,
leroy,44,,
brasil,44,,
lanches,42,,
merlin,41,,
guara,41,,
mp,40,,
ricardo,39,,
bubble,39,,
000001107,38,,
da,38,,
barueri,37,,
